restaurantname,pricerange,area,food,phone,addr,postcode,FoodQuality,Crowdedness,StayLength
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,bad,not busy,long
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,decent,not busy,normal
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,decent,not busy,long
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,bad,not busy,short
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,decent,not busy,short
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,bad,busy,short
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,good,not busy,normal
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,good,busy,normal
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,decent,busy,normal
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,bad,busy,normal
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,decent,busy,normal
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,bad,not busy,normal
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,bad,busy,normal
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,bad,busy,short
the golden curry,expensive,south,australasian,01223 329432,,,good,not busy,long
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,decent,not busy,short
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,bad,busy,long
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,bad,not busy,long
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,decent,busy,short
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,decent,busy,long
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,bad,not busy,long
saffron brasserie,expensive,centre,jamaican,,,,bad,busy,short
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,good,not busy,normal
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,bad,not busy,normal
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,bad,not busy,short
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,good,not busy,short
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,bad,not busy,short
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,good,busy,long
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,bad,not busy,short
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,bad,busy,normal
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,good,busy,short
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,good,busy,short
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,good,not busy,normal
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,decent,not busy,long
panahar,expensive,centre,mediterranean,,,,bad,busy,normal
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,good,busy,normal
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,good,not busy,long
sesame restaurant and bar,moderate,,turkish,,,,bad,not busy,long
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,good,busy,normal
